T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
143,Central Asia,2005,"Intentional homicide rates per 100,000",6.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Male",10.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2010,"Intentional homicide rates per 100,000",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Male",7.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2015,"Intentional homicide rates per 100,000",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Male",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2022,"Intentional homicide rates per 100,000",1.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2022,"Percentage of male and female intentional homicide victims, Male",2.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
143,Central Asia,2022,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
30,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed May 2024."
